Product Name,MRP,Average_rating,Product_links
OREVA OR-512 c OR-512 c Basic  Calculator  (12 Digit),275,4.2,https://www.flipkart.com/oreva-or-512-c-basic-calculator/p/itmffvbqmrszkemd?pid=CALFFU9NMTAHPS4M&lid=LSTCALFFU9NMTAHPS4MSXPJWO&marketplace=FLIPKART&store=dgv%2Fqtq&srno=b_1_35&otracker=browse&fm=organic&iid=09b18db9-accf-4194-8e0b-7e714a2e2a25.CALFFU9NMTAHPS4M.SEARCH&ppt=None&ppn=None&ssid=9tw37b3pog0000001655980934834
OREVA OR400 Basic  Calculator  (12 Digit),281,4.1,https://www.flipkart.com/oreva-or400-basic-calculator/p/itme2ma5hpqzy3vf?pid=CALEYKDG6NDPYBGH&lid=LSTCALEYKDG6NDPYBGH7MTNE8&marketplace=FLIPKART&store=dgv%2Fqtq&srno=b_1_36&otracker=browse&fm=organic&iid=09b18db9-accf-4194-8e0b-7e714a2e2a25.CALEYKDG6NDPYBGH.SEARCH&ppt=None&ppn=None&ssid=9tw37b3pog0000001655980934834
BAMBALIO 8 Digits BL-100 Orange Portable Pocket Calculator 3 Years Warranty Basic  Calculator  (8 Digit),149,4,https://www.flipkart.com/bambalio-8-digits-bl-100-orange-portable-pocket-calculator-3-years-warranty-basic/p/itm73a1ddd31e7e9?pid=CALFWGAEHVFZ6HGY&lid=LSTCALFWGAEHVFZ6HGYNT18OP&marketplace=FLIPKART&store=dgv%2Fqtq&srno=b_1_37&otracker=browse&fm=organic&iid=09b18db9-accf-4194-8e0b-7e714a2e2a25.CALFWGAEHVFZ6HGY.SEARCH&ppt=None&ppn=None&ssid=9tw37b3pog0000001655980934834
CASIO SL-1000SC-PK Basic  Calculator  (10 Digit),451,4.3,https://www.flipkart.com/casio-sl-1000sc-pk-basic-calculator/p/itmf7bmgwfkhzj3z?pid=CALF7BKDCEDZR4HJ&lid=LSTCALF7BKDCEDZR4HJEJC7CF&marketplace=FLIPKART&store=dgv%2Fqtq&srno=b_1_38&otracker=browse&fm=organic&iid=09b18db9-accf-4194-8e0b-7e714a2e2a25.CALF7BKDCEDZR4HJ.SEARCH&ppt=None&ppn=None&ssid=9tw37b3pog0000001655980934834
CASIO MJ-12VCB-WE Desktop Basic  Calculator  (12 Digit),508,4.2,https://www.flipkart.com/casio-mj-12vcb-we-desktop-basic-calculator/p/itmesrg4h34eyexe?pid=CALESRFU4HYR7FNR&lid=LSTCALESRFU4HYR7FNRL0H5W0&marketplace=FLIPKART&store=dgv%2Fqtq&srno=b_1_39&otracker=browse&fm=organic&iid=09b18db9-accf-4194-8e0b-7e714a2e2a25.CALESRFU4HYR7FNR.SEARCH&ppt=None&ppn=None&ssid=9tw37b3pog0000001655980934834
jito 12 Digits JT-512 White - Grey 1 Year Warranty Basic  Calculator  (12 Digit),243,4.3,https://www.flipkart.com/jito-12-digits-jt-512-white-grey-1-year-warranty-basic-calculator/p/itm743cbfe76d7e9?pid=CALFXYAUYMFUQ2AC&lid=LSTCALFXYAUYMFUQ2ACYBROGE&marketplace=FLIPKART&store=dgv%2Fqtq&srno=b_1_40&otracker=browse&fm=organic&iid=09b18db9-accf-4194-8e0b-7e714a2e2a25.CALFXYAUYMFUQ2AC.SEARCH&ppt=None&ppn=None&ssid=9tw37b3pog0000001655980934834
jito 12 Digits JT-512 White - Grey 1 Year Warranty Basic  Calculator  (12 Digit),243,4.3,https://www.flipkart.com/jito-12-digits-jt-512-white-grey-1-year-warranty-basic-calculator/p/itm743cbfe76d7e9?pid=CALFXYAUYMFUQ2AC&lid=LSTCALFXYAUYMFUQ2ACYBROGE&marketplace=FLIPKART&store=dgv%2Fqtq&srno=b_2_41&otracker=browse&fm=organic&iid=d9ffa2bf-ea64-4d89-9e34-d537d97d26f2.CALFXYAUYMFUQ2AC.SEARCH&ppt=None&ppn=None&ssid=fq08qw2j7k0000001655981028908
BAMBALIO 14 Digits BL-714 Large Display with Metallic Panel & 3 Years Warranty Basic  Calculator  (14 Digit),743,4.2,https://www.flipkart.com/bambalio-14-digits-bl-714-large-display-metallic-panel-3-years-warranty-basic-calculator/p/itmab09419b15860?pid=CALFVHMZYKTZHHDF&lid=LSTCALFVHMZYKTZHHDF8FWOC7&marketplace=FLIPKART&store=dgv%2Fqtq&srno=b_2_42&otracker=browse&fm=organic&iid=d9ffa2bf-ea64-4d89-9e34-d537d97d26f2.CALFVHMZYKTZHHDF.SEARCH&ppt=None&ppn=None&ssid=fq08qw2j7k0000001655981028908
OREVA OR 1600 C OR 1600 C Financial  Calculator  (12 Digit),580,4.4,https://www.flipkart.com/oreva-1600-c-financial-calculator/p/itm0ada2c8e639ce?pid=CALG3YPHM6CTHGHF&lid=LSTCALG3YPHM6CTHGHFGTQ0CS&marketplace=FLIPKART&store=dgv%2Fqtq&srno=b_2_43&otracker=browse&fm=organic&iid=d9ffa2bf-ea64-4d89-9e34-d537d97d26f2.CALG3YPHM6CTHGHF.SEARCH&ppt=None&ppn=None&ssid=fq08qw2j7k0000001655981028908
CASIO MJ-12VCB-GN Desktop Basic  Calculator  (12 Digit),535,4.3,https://www.flipkart.com/casio-mj-12vcb-gn-desktop-basic-calculator/p/itmesrg4yshjymje?pid=CALESRG4WYDKTYRF&lid=LSTCALESRG4WYDKTYRFLS7S5W&marketplace=FLIPKART&store=dgv%2Fqtq&srno=b_2_44&otracker=browse&fm=organic&iid=d9ffa2bf-ea64-4d89-9e34-d537d97d26f2.CALESRG4WYDKTYRF.SEARCH&ppt=None&ppn=None&ssid=fq08qw2j7k0000001655981028908
